pol        seed |      rew      cap     step      mdl     wait     comp      nsv |   pku    pkr obs  obsr   pkv   pkvr    mwt   cmp    cmr   anp   anpr     mtt   pnc    pncr |   noop  overld  mcand  cne_fr cne_mn   dstep    macmr    msd
64          600 |     4.79     0.00     0.00    -3.17    -3.04    11.00     0.00 | 11/19   0.58 10   0.53  2/11   0.18  181.91 11/19   0.58  0/19   0.00  263.00  0/11   0.00 |   0.680  0.667   0.86  0.400   2.16     11    0.319     15
65          700 |     3.63     0.00     0.00    -5.33    -2.04    11.00     0.00 | 11/19   0.58 14   0.74  7/11   0.64  287.64 11/19   0.58  4/19   0.21  237.91  0/11   0.00 |   0.656  0.667   1.13  0.505   2.23     12    0.202     18
66          800 |     8.24     0.00     0.00    -1.07    -4.69    14.00     0.00 | 14/16   0.88  3   0.19  1/14   0.07  165.36 14/16   0.88  2/16   0.12  315.07  0/14   0.00 |   0.695  0.632   0.69  0.360   1.92     12    0.434     19
67          900 |     4.96     0.00     0.00    -3.60    -2.45    11.00     0.00 | 11/19   0.58 11   0.58  3/11   0.27  193.73 11/19   0.58  0/19   0.00  298.00  0/11   0.00 |   0.760  0.550   0.71  0.343   2.08     12    0.248     20
68         1000 |     4.40     0.00     0.00    -4.63    -1.97    11.00     0.00 | 11/19   0.58 13   0.68  5/11   0.45  264.00 11/19   0.58  6/19   0.32  262.64  0/11   0.00 |   0.678  0.667   0.97  0.442   2.19     12    0.244     18
69          100 |     7.35     0.00     0.00    -2.60    -2.05    12.00     0.00 | 12/18   0.67  8   0.44  2/12   0.17  129.92 12/18   0.67  0/18   0.00  226.58  0/12   0.00 |   0.688  0.688   0.67  0.388   1.73     12    0.459     16
70          200 |     5.12     0.00     0.00    -4.10    -1.78    11.00     0.00 | 13/19   0.68 11   0.58  5/13   0.38  215.62 11/19   0.58  6/19   0.32  274.18  2/13   0.15 |   0.740  0.550   0.66  0.390   1.68     12    0.256     20
71          300 |     3.93     0.00     0.00    -3.13    -2.94    10.00     0.00 | 10/20   0.50 11   0.55  1/10   0.10  174.40 10/20   0.50  4/20   0.20  304.50  0/10   0.00 |   0.740  0.550   0.70  0.381   1.85     12    0.196     20
72          400 |     5.41     0.00     0.00    -2.57    -4.02    12.00     0.00 | 14/18   0.78  7   0.39  4/14   0.29  220.93 12/18   0.67  0/18   0.00  241.50  2/14   0.14 |   0.760  0.550   0.72  0.362   2.00     12    0.271     20
73          500 |     5.20     0.00     0.00    -3.10    -2.71    11.00     0.00 | 11/19   0.58 10   0.53  2/11   0.18  158.09 11/19   0.58  6/19   0.32  270.09  0/11   0.00 |   0.662  0.750   0.73  0.424   1.72     12    0.325     16
74          600 |     5.03     0.00     0.00    -2.07    -3.90    11.00     0.00 | 11/19   0.58  8   0.42  0/11   0.00  142.00 11/19   0.58  0/19   0.00  216.82  0/11   0.00 |   0.613  0.733   1.14  0.537   2.12     11    0.335     15
